Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_Disc_D5.1mm_W3.2mm_P5.00mm",45.100000,-49.800000,90.000000,top
"C2",".1uF","C_Disc_D4.3mm_W1.9mm_P5.00mm",77.800000,-61.250000,180.000000,top
"C3","330pF","C_Disc_D4.3mm_W1.9mm_P5.00mm",106.660000,-56.240000,180.000000,top
"C4",".1uF","C_Disc_D4.3mm_W1.9mm_P5.00mm",51.080000,-59.620000,0.000000,top
"C7","10uF","C_Disc_D5.1mm_W3.2mm_P5.00mm",58.900000,-78.082651,-90.000000,top
"C8","1000uF","CP_Radial_D10.0mm_P5.00mm",79.650000,-50.400000,-90.000000,top
"C9","100uF","CP_Radial_D6.3mm_P2.50mm",111.000000,-50.350000,0.000000,top
"C10","100uF","CP_Radial_D6.3mm_P2.50mm",83.200000,-82.275000,180.000000,top
"D1","RED LED","LED_D3.0mm",181.795000,-47.000000,180.000000,top
"D2","YELLOW LED","LED_D3.0mm",187.135000,-47.000000,180.000000,top
"D3","GREEN LED","LED_D3.0mm",192.545000,-47.000000,180.000000,top
"D4","Red SMT LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",180.575000,-51.600000,180.000000,top
"D5","1N4001","D_DO-41_SOD81_P10.16mm_Horizontal",51.000000,-45.330000,0.000000,top
"D6","1N5819","D_DO-41_SOD81_P7.62mm_Horizontal",91.440000,-56.260000,0.000000,top
"D7","Yellow LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",185.850000,-51.600000,180.000000,top
"D8","Blue SMT LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",191.275000,-51.600000,180.000000,top
"GR1","small_logo","small_face",145.641626,-69.845346,0.000000,top
"J1","Conn_02x08_Odd_Even","PinHeader_2x08_P2.54mm_Vertical",48.050000,-88.250000,180.000000,top
"J2","Conn_02x08_Odd_Even","PinHeader_2x08_P2.54mm_Vertical",72.540000,-88.280000,180.000000,top
"J3","Conn_02x08_Odd_Even","PinHeader_2x08_P2.54mm_Vertical",102.540000,-88.280000,180.000000,top
"J4","Conn_02x08_Odd_Even","PinHeader_2x08_P2.54mm_Vertical",132.540000,-88.280000,180.000000,top
"J5","Conn_02x08_Odd_Even","PinHeader_2x08_P2.54mm_Vertical",162.540000,-88.280000,180.000000,top
"J6","Conn_02x08_Odd_Even","PinHeader_2x08_P2.54mm_Vertical",192.540000,-88.280000,180.000000,top
"J7","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",44.100000,-56.610000,0.000000,top
"L1","100uH","L_Radial_D8.7mm_P5.00mm_Fastron_07HCP",94.160000,-47.770000,180.000000,top
"L2","1.8uH","L_Axial_L9.5mm_D4.0mm_P12.70mm_Horizontal_Fastron_SMCC",95.300000,-61.250000,180.000000,top
"L3","1.8uH","L_Sunlord_SWPA4012S",88.950000,-66.150000,180.000000,top
"R1","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",174.260000,-57.140000,90.000000,top
"R2","4.7K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",191.180000,-57.000000,180.000000,top
"R3","10K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",196.150000,-47.020000,-90.000000,top
"R4","953","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",99.030000,-59.390000,0.000000,top
"R5","8.2K","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",119.350000,-56.270000,180.000000,top
"R6",".33","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",119.820000,-45.270000,180.000000,top
"TP1","TestPoint","TestPoint_Keystone_5005-5009_Compact",121.050000,-95.220000,0.000000,top
"U1","LM7805_TO220","TO-220-3_Horizontal_TabDown",51.000000,-49.800000,-90.000000,top
"U2","MC34063AD","DIP-8_W7.62mm_LongPads",99.075000,-45.275000,0.000000,top
